word_id,sentence_id,word,label,is_ne,is_spelling_correct
20937,1308,karakter,FIL,,True
20938,1308,na,FIL,,True
20939,1308,si,FIL,,True
20940,1308,Don,OTH,NE,True
20941,1308,Ignacio,OTH,NE,True
20942,1308,",",OTH,,True
20943,1308,na,FIL,,True
20944,1308,ginagampanan,FIL,,True
20945,1308,naman,FIL,,True
20946,1308,ni,FIL,,True
20947,1308,Tommy,OTH,NE,True
20948,1308,Abuel,OTH,NE,True
20949,1308,.,OTH,,True
20967,1311,I,ENG,,True
20968,1311,feel,ENG,,True
20969,1311,so,ENG,,True
20970,1311,kilig,FIL,,True
20971,1311,makakapag,FIL,,True
20972,1311,ipon,FIL,,True
20973,1311,na,FIL,,True
20974,1311,ako,FIL,,True
20975,1311,ng,FIL,,True
20976,1311,todo,FIL,,True
21031,1316,Alagaan,FIL,,True
21032,1316,mo,FIL,,True
21033,1316,kayong,FIL,,True
21034,1316,dalawa,FIL,,True
21035,1316,.,OTH,,True
21057,1318,Bigyan,FIL,,True
21058,1318,niyo,FIL,,True
21059,1318,ako,FIL,,True
21060,1318,ng,FIL,,True
21061,1318,pag-asa,FIL,,True
21062,1318,.,OTH,,True
21063,1319,Ayon,FIL,,True
21064,1319,kay,FIL,,True
21065,1319,Yap,OTH,NE,True
21066,1319,",",OTH,,True
21067,1319,hindi,FIL,,True
21068,1319,natatapos,FIL,,True
21069,1319,ang,FIL,,True
21070,1319,trabaho,FIL,,True
21071,1319,ng,FIL,,True
21072,1319,Appropriations,ENG,NE,True
21073,1319,Committee,ENG,NE,True
21074,1319,sa,FIL,,True
21075,1319,pag-apruba,FIL,,True
21076,1319,at,FIL,,True
21077,1319,pagsasabatas,FIL,,True
21078,1319,ng,FIL,,True
21079,1319,budget,ENG,,True
21080,1319,.,OTH,,True
21281,1327,Kung,FIL,,True
21282,1327,ang,FIL,,True
21283,1327,mismong,FIL,,True
21284,1327,batas,FIL,,True
21285,1327,ng,FIL,,True
21286,1327,Diyos,FIL,NE,True
